gene_id,entrez_id,gene_name,symbol,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
ENSG00000000003,7105,TSPAN6,TSPAN6,6,2,4,18,11,5,5,6,3,4,4,3
ENSG00000000005,64102,TNMD,TNMD,2,0,0,0,0,4,1,3,0,4,12,8
ENSG00000000419,8813,DPM1,DPM1,28,37,33,35,15,11,101,22,39,21,58,40
ENSG00000000457,57147,SCYL3,SCYL3,41,41,67,33,37,27,61,102,46,60,76,42
ENSG00000000460,55732,C1orf112,C1orf112,4,5,4,0,1,0,0,3,0,1,0,1
ENSG00000000938,2268,FGR,FGR,0,0,0,0,0,0,0,1,0,1,0,0
ENSG00000000971,3075,CFH,CFH,0,13,10,1,2,6,0,8,4,5,4,3
ENSG00000001036,2519,FUCA2,FUCA2,2,2,3,10,14,10,5,25,3,6,11,2
ENSG00000001084,2729,GCLC,GCLC,39,44,31,134,55,122,60,34,31,77,32,34
ENSG00000001167,4800,NFYA,NFYA,1,2,0,0,0,1,4,27,9,1,0,1
ENSG00000001460,90529,STPG1,STPG1,0,3,2,0,2,2,1,5,0,4,0,4
ENSG00000001461,57185,NIPAL3,NIPAL3,1,5,6,4,1,7,28,13,7,6,0,2
ENSG00000001497,81887,LAS1L,LAS1L,41,81,73,33,127,86,85,83,38,111,73,61
ENSG00000001561,22875,ENPP4,ENPP4,6,6,4,7,3,7,0,2,8,9,2,9
ENSG00000001617,6405,SEMA3F,SEMA3F,36,32,26,35,25,36,20,15,18,26,54,27
ENSG00000001626,1080,CFTR,CFTR,200,224,333,305,376,279,346,405,280,359,322,369
ENSG00000001629,54467,ANKIB1,ANKIB1,9,19,15,44,15,8,2,15,12,15,17,5
ENSG00000001630,1595,CYP51A1,CYP51A1,9,0,6,27,8,6,4,3,7,9,8,7
ENSG00000001631,889,KRIT1,KRIT1,2,1,3,2,2,0,0,1,4,4,0,2
ENSG00000002016,5893,RAD52,RAD52,10,21,12,51,1,14,36,13,18,2,12,5
ENSG00000002079,84176,MYH16,MYH16,5,2,0,6,3,0,1,8,2,1,5,0
ENSG00000002330,572,BAD,BAD,22,16,5,5,6,14,26,4,18,6,17,22
ENSG00000002549,51056,LAP3,LAP3,0,2,15,5,5,0,3,14,3,0,6,1
ENSG00000002586,4267,CD99,CD99,7,6,0,3,0,3,1,0,6,2,13,0
ENSG00000002587,9957,HS3ST1,HS3ST1,82,137,59,80,64,70,111,129,113,150,107,65
ENSG00000002726,26,AOC1,AOC1,14,7,10,9,10,21,18,16,25,14,31,42
ENSG00000002745,51384,WNT16,WNT16,19,11,5,9,28,19,16,21,32,9,23,18
ENSG00000002746,23072,HECW1,HECW1,32,41,52,21,30,26,42,40,79,48,36,34
ENSG00000002822,8379,MAD1L1,MAD1L1,67,163,173,130,105,98,170,60,63,130,141,135
ENSG00000002834,3927,LASP1,LASP1,34,14,27,35,18,26,16,14,42,16,32,22
ENSG00000002919,29916,SNX11,SNX11,37,25,32,20,37,11,27,13,26,38,33,8
ENSG00000002933,55365,TMEM176A,TMEM176A,57,71,25,8,52,31,29,43,51,43,21,24
ENSG00000003056,4074,M6PR,M6PR,23,9,11,23,31,13,34,19,28,36,28,48
ENSG00000003096,90293,KLHL13,KLHL13,55,13,67,25,24,52,41,17,70,20,33,68
ENSG00000003137,56603,CYP26B1,CYP26B1,28,19,33,15,26,30,30,23,47,40,35,40
ENSG00000003147,3382,ICA1,ICA1,114,74,63,71,45,28,53,121,125,76,67,81
ENSG00000003249,79007,DBNDD1,DBNDD1,133,108,53,45,91,174,85,106,73,81,38,36
ENSG00000003393,57679,ALS2,ALS2,16,4,14,2,2,9,12,8,10,2,0,0
ENSG00000003400,843,CASP10,CASP10,33,13,52,12,5,47,18,20,7,5,8,6
ENSG00000003402,8837,CFLAR,CFLAR,2,11,13,7,4,3,11,25,13,3,1,10
ENSG00000003436,7035,TFPI,TFPI,2,3,25,13,9,17,9,12,9,17,23,9
ENSG00000003509,55471,NDUFAF7,NDUFAF7,64,44,69,43,36,12,26,90,19,31,36,41
ENSG00000003756,10181,RBM5,RBM5,155,125,158,72,85,108,117,235,151,207,150,204
ENSG00000003987,9108,MTMR7,MTMR7,13,36,22,9,2,27,5,8,31,22,29,18
ENSG00000003989,6542,SLC7A2,SLC7A2,105,68,102,70,85,114,83,81,91,82,65,36
ENSG00000004059,381,ARF5,ARF5,28,8,10,28,2,27,6,16,54,10,27,13
ENSG00000004139,23098,SARM1,SARM1,21,7,45,11,7,21,12,13,9,3,23,15
ENSG00000004142,26073,POLDIP2,POLDIP2,51,7,11,9,24,15,19,8,6,25,26,16
ENSG00000004399,23129,PLXND1,PLXND1,166,229,269,229,381,388,245,179,190,195,165,185
ENSG00000004455,204,AK2,AK2,14,9,4,10,3,4,24,12,5,8,1,9
ENSG00000004468,952,CD38,CD38,65,43,55,76,29,35,75,68,73,47,85,40
ENSG00000004478,2288,FKBP4,FKBP4,5,0,4,2,0,1,11,2,3,5,0,0
ENSG00000004487,23028,KDM1A,KDM1A,22,26,23,24,24,37,39,42,50,25,46,43
ENSG00000004534,10180,RBM6,RBM6,361,85,185,232,133,138,192,179,195,151,134,201
ENSG00000004660,84254,CAMKK1,CAMKK1,10,3,16,1,2,8,17,3,0,7,0,5
ENSG00000004700,5965,RECQL,RECQL,7,9,22,3,8,4,8,4,12,7,0,19
ENSG00000004766,55610,CCDC132,CCDC132,0,0,5,3,0,6,1,3,9,0,1,0
ENSG00000004776,126393,HSPB6,HSPB6,5,2,1,6,2,3,13,8,8,6,7,3
ENSG00000004777,115703,ARHGAP33,ARHGAP33,8,11,6,1,3,17,3,8,9,16,27,9
ENSG00000004779,4706,NDUFAB1,NDUFAB1,0,3,6,3,5,3,8,1,5,8,1,6
ENSG00000004799,5166,PDK4,PDK4,7,24,21,28,16,13,24,13,19,30,41,27
ENSG00000004809,85413,SLC22A16,SLC22A16,1083,2860,1889,1840,1514,2144,2127,1900,1579,1627,1530,836
ENSG00000004838,51364,ZMYND10,ZMYND10,11,7,6,8,15,2,4,4,26,27,10,13
ENSG00000004846,340273,ABCB5,ABCB5,5,4,3,6,11,11,8,6,1,0,4,34
ENSG00000004848,170302,ARX,ARX,0,0,0,0,2,0,0,0,0,0,2,0
ENSG00000004864,10165,SLC25A13,SLC25A13,26,26,29,30,14,6,10,6,28,27,15,23
ENSG00000004866,102466616,ST7,ST7,6,1,7,12,0,6,1,1,7,3,7,1
ENSG00000004897,996,CDC27,CDC27,41,51,110,41,69,45,99,78,41,29,76,49
ENSG00000004939,6521,SLC4A1,SLC4A1,10,3,3,2,0,11,8,1,2,0,13,6
ENSG00000004948,799,CALCR,CALCR,67,27,42,36,51,73,94,113,48,74,94,102
ENSG00000004961,3052,HCCS,HCCS,11,7,14,20,11,6,21,21,28,8,2,7
ENSG00000004975,1856,DVL2,DVL2,32,10,26,54,39,25,28,61,25,32,45,10
ENSG00000005001,64063,PRSS22,PRSS22,13,36,17,3,44,15,32,47,24,13,9,18
ENSG00000005007,5976,UPF1,UPF1,43,25,64,29,102,68,35,35,48,24,30,53
ENSG00000005020,8935,SKAP2,SKAP2,3,5,8,3,1,1,2,11,0,0,5,9
ENSG00000005022,292,SLC25A5,SLC25A5,55,43,26,119,96,27,55,72,34,81,97,63
ENSG00000005059,55013,CCDC109B,CCDC109B,0,18,1,9,2,3,3,1,5,3,1,10
ENSG00000005073,3207,HOXA11,HOXA11,0,13,2,0,0,13,0,3,2,18,3,11
ENSG00000005075,5439,POLR2J,POLR2J,5,3,8,12,40,8,7,15,7,5,14,5
ENSG00000005100,56919,DHX33,DHX33,4,0,10,1,0,2,0,4,0,3,4,1
ENSG00000005102,4222,MEOX1,MEOX1,139,94,112,102,65,63,131,81,89,99,113,112
ENSG00000005108,221981,THSD7A,THSD7A,12,19,49,29,28,50,29,41,54,29,32,28
ENSG00000005156,3980,LIG3,LIG3,4,8,4,6,14,32,13,25,29,30,15,11
ENSG00000005175,79657,RPAP3,RPAP3,14,4,6,5,10,4,0,0,0,0,0,7
ENSG00000005187,6296,ACSM3,ACSM3,4,7,49,25,38,24,6,14,26,11,21,6
ENSG00000005189,81691,AC004381.6,AC004381.6,88,47,54,36,34,93,51,29,27,79,38,32
ENSG00000005194,57019,CIAPIN1,CIAPIN1,185,193,170,279,220,126,187,111,87,183,198,175
ENSG00000005206,NA,SPPL2B,SPPL2B,11,8,14,20,47,4,15,16,35,30,25,17
ENSG00000005238,80256,FAM214B,FAM214B,2,8,2,27,35,0,7,9,18,11,7,18
ENSG00000005243,51226,COPZ2,COPZ2,13,23,19,20,31,18,16,39,20,25,42,9
ENSG00000005249,5577,PRKAR2B,PRKAR2B,43,172,52,145,114,164,92,168,96,68,197,209
ENSG00000005302,10943,MSL3,MSL3,0,2,1,3,1,4,1,0,0,0,0,3
ENSG00000005339,1387,CREBBP,CREBBP,158,94,85,64,82,118,71,49,24,108,54,115
